,sl,cc,pnl,,sl_long,cc_long,pnl_long,,sl_short,cc_short,pnl_short,,,,,,,,,,,,,symbol,bb window,bb std dev
Total PNL,0.1,0,285.4912928,Long PNL,0.1,0,149.9828933,Short PNL,0.25,0,144.6426247,Total PNL Balance,0.25,0,11864.91849,Long PNL Balance,0.1,0,3624.372847,Short PNL Balance,0.25,0,3580.666809,AGIXUSDT,16,3.1
Total PNL,0.15,20,364.1269102,Long PNL,0.05,0,148.0685982,Short PNL,0.15,20,240.7285861,Total PNL Balance,0.1,0,20931.69704,Long PNL Balance,0.05,0,3681.844411,Short PNL Balance,0.15,20,7545.789263,AMBUSDT,16,3.5
Total PNL,0.125,12,532.0363713,Long PNL,0.125,12,230.5011334,Short PNL,0.1,19,318.0828777,Total PNL Balance,0.125,12,69891.05148,Long PNL Balance,0.125,12,6008.679017,Short PNL Balance,0.1,19,14127.68349,APEUSDT,16,3.4
Total PNL,0.05,0,459.7233929,Long PNL,0.125,0,265.55105,Short PNL,0.05,0,216.8223268,Total PNL Balance,0.05,0,55160.08823,Long PNL Balance,0.125,0,10452.73591,Short PNL Balance,0.05,0,6553.642277,APTUSDT,16,3.1
Total PNL,0.15,0,1265.696945,Long PNL,0.15,0,930.8335176,Short PNL,0.075,0,432.5924162,Total PNL Balance,0.05,0,6327421.864,Long PNL Balance,0.15,0,2261484.104,Short PNL Balance,0.05,0,11577.17797,AXSUSDT,16,2.8
Total PNL,0.15,0,1303.541333,Long PNL,0.15,1,988.735717,Short PNL,0.05,1,518.8578631,Total PNL Balance,0.05,0,15287523.02,Long PNL Balance,0.15,1,3643377.619,Short PNL Balance,0.05,1,47570.646,AXSUSDT,18,3.5
Total PNL,0.1,0,820.0584647,Long PNL,0.1,0,342.148873,Short PNL,0.1,0,477.9095917,Total PNL Balance,0.1,0,556938.4538,Long PNL Balance,0.05,2,11176.76307,Short PNL Balance,0.075,2,51753.12036,BAKEUSDT,16,3.5
Total PNL,0.1,0,1473.061139,Long PNL,0.05,0,780.9571829,Short PNL,0.1,0,748.1142185,Total PNL Balance,0.1,0,243522269.3,Long PNL Balance,0.05,0,1005069.496,Short PNL Balance,0.1,0,486118.6381,CELOUSDT,16,3
Total PNL,0.3,0,2413.87526,Long PNL,0.175,1,1467.547489,Short PNL,0.3,0,992.5745278,Total PNL Balance,0.3,0,3.98836E+11,Long PNL Balance,0.175,1,248958061.3,Short PNL Balance,0.3,0,3129322.304,COTIUSDT,16,3
Total PNL,0.125,0,1318.234865,Long PNL,0.125,0,718.5466401,Short PNL,0.15,0,624.7520057,Total PNL Balance,0.125,0,76265073.62,Long PNL Balance,0.125,0,502017.2782,Short PNL Balance,0.15,0,193685.3799,DYDXUSDT,16,2.9
Total PNL,0.125,0,894.5977115,Long PNL,0.125,0,548.9058766,Short PNL,0.15,0,394.5232222,Total PNL Balance,0.125,0,363403.3254,Long PNL Balance,0.125,0,51400.8655,Short PNL Balance,0,0,13731.56219,ENJUSDT,16,3.5
Total PNL,0.05,0,431.9896065,Long PNL,0.225,7,291.0434786,Short PNL,0.05,0,180.0722132,Total PNL Balance,0.05,0,40788.72018,Long PNL Balance,0.1,7,14527.43231,Short PNL Balance,0.05,0,3977.800334,HIFIUSDT,16,3.4
